sub	task	run	space	den	mean_fd	mean_fd_post_censoring	mean_relative_rms	max_relative_rms	mean_dvars_initial	mean_dvars_final	num_dummy_volumes	num_censored_volumes	num_retained_volumes	fd_dvars_correlation_initial	fd_dvars_correlation_final
pa1674	rest	2	fsLR	91k	0.1726875238278048	0.1726875238278048	0.0977785727628361	0.588263	1.2652156358193878	1.2616271349891015	0	0	410	0.468168610210425	0.0157109254666487
pa1700	rest	1	fsLR	91k	0.1404812857692682	0.1404812857692682	0.0795460283618581	0.229562	1.2419294008809063	1.1946691042493918	0	0	410	0.2641169027304437	0.091255943520635
pa1700	rest	2	fsLR	91k	0.1864823432268293	0.1864823432268293	0.105996258190709	0.719915	1.2430758499606362	1.2140111733417338	0	0	410	0.5151139721836082	-0.0988631394419696
pa1766	rest	1	fsLR	91k	0.1777864154560973	0.1777864154560973	0.1075928992665036	0.245023	1.2892746445176002	1.25753193364432	0	0	410	0.2391451170277964	-0.0292333490604308
pa1766	rest	2	fsLR	91k	0.142717520439024	0.142717520439024	0.0864250193154034	0.231937	1.295589061635615	1.2580664552570375	0	0	410	0.2176231325809673	0.0987130894383997
pa1792	rest	1	fsLR	91k	0.1721962589648776	0.1721962589648776	0.1088542092909535	0.237877	1.2702706231675878	1.2503818724503035	0	0	410	0.2122963959378181	0.0695365860210188
pa1792	rest	2	fsLR	91k	0.0983347335804876	0.0983347335804876	0.0566376668704156	0.251397	1.2726847561322423	1.26970166015813	0	0	410	0.1911124441245566	0.0546911308319234
pa1811	rest	1	fsLR	91k	0.1596954214317071	0.1596954214317071	0.0932242599755501	0.393222	1.257034878446504	1.2480971745474754	0	0	410	0.3325432332815535	0.0852686370556792
pa1811	rest	2	fsLR	91k	0.2741398931360975	0.2741398931360975	0.1668180794621026	0.8523469999999999	1.2630422997386226	1.289168137277665	0	0	410	0.625238050458274	0.0253882236453543
pa1834	rest	1	fsLR	91k	0.1108051413031707	0.1108051413031707	0.0642139412958435	0.251801	1.270263356709488	1.2725319612355404	0	0	410	0.1909861340795984	-0.044324964809383
pa1834	rest	2	fsLR	91k	0.0999145922414633	0.0999145922414633	0.0567128973105134	0.280014	1.2795707319037708	1.27371506120336	0	0	410	0.2286162241163065	0.0696912430367151
pa1841	rest	1	fsLR	91k	0.159467823117073	0.159467823117073	0.0944606214180929	0.312381	1.2812497952033484	1.2341950778653454	0	0	410	0.2485254223748839	0.0299744314762864
pa1841	rest	2	fsLR	91k	0.1243780270546339	0.1243780270546339	0.0700582902444987	0.347966	1.28460367238243	1.2470323734985391	0	0	410	0.2584987418092546	0.0652914939032932
pa1859	rest	1	fsLR	91k	0.0760823571302438	0.0760823571302438	0.0425185454767726	0.306948	1.2464337175936804	1.2269170480131528	0	0	410	0.206171415699735	0.0339780745624365
pa1859	rest	2	fsLR	91k	0.1756767654134146	0.1756767654134146	0.1022227048899755	0.721672	1.240730476902021	1.2116490007625818	0	0	410	0.4609060642501317	0.0533205926982123
pa1913	rest	1	fsLR	91k	0.0891734389682926	0.0891734389682926	0.0488549183374083	0.343534	1.2514304465126138	1.216310026735134	0	0	410	0.2343116200654637	-0.0692665681373875
pa1913	rest	2	fsLR	91k	0.1323400711707315	0.1323400711707315	0.0799668909535452	0.495158	1.2336112242217758	1.191140783919133	0	0	410	0.369929519365653	0.0398372711547722
pa1940	rest	1	fsLR	91k	0.1641694761780487	0.1641694761780487	0.0941555738386308	0.322917	1.2574647932047205	1.254975545143589	0	0	410	0.2587414811243785	-0.0666923126111039
pa1940	rest	2	fsLR	91k	0.1472476334768778	0.1472476334768778	0.088905934792176	0.288074	1.2640267024273024	1.2685985522930572	0	0	410	0.2747480237736717	-0.0935111075722804
pa1978	rest	1	fsLR	91k	0.0988685231433659	0.0988685231433659	0.0609544239364303	0.188412	1.2529995279844952	1.2209330122319917	0	0	410	0.1716227919687078	-0.0104838616336124
pa1978	rest	2	fsLR	91k	0.1740328980926828	0.1740328980926828	0.1006569540097799	0.7411539999999999	1.2609470894926988	1.2588017846084083	0	0	410	0.6362002398069215	0.1151951723741283
pa2079	rest	1	fsLR	91k	0.2166537863951221	0.2166537863951221	0.1344994107334963	0.39665	1.2120357360736542	1.2255806247983716	0	0	410	0.3146550203916144	-0.0091644752333615
pa2079	rest	2	fsLR	91k	0.1880575833439021	0.1880575833439021	0.112693364792176	0.672411	1.205616109520598	1.205934769869064	0	0	410	0.4556379347513162	0.0707186914024646
pa2100	rest	1	fsLR	91k	0.1682868885634146	0.1682868885634146	0.0948074004889975	0.298587	1.222480012173884	1.2241308193221545	0	0	410	0.2484613703459597	-0.1122485850366476
pa2100	rest	2	fsLR	91k	0.165069018029268	0.165069018029268	0.0855007061124694	0.415916	1.2149065021938328	1.2206124965803835	0	0	410	0.4298589666703625	-0.0269328391152846
pa2106	rest	1	fsLR	91k	0.0860491454026827	0.0860491454026827	0.0495344549388753	0.211975	1.2590768966601888	1.212976340227638	0	0	410	0.1710026791790858	0.0065261805443693
pa2106	rest	2	fsLR	91k	0.1049412108634145	0.1049412108634145	0.0602492696577017	0.372343	1.2541699091961962	1.22417947258922	0	0	410	0.225627592413585	-0.0851903854665092
pa2196	rest	1	fsLR	91k	0.1186155106263415	0.1186155106263415	0.0662560701711491	0.306953	1.242619060875801	1.2217041727155231	0	0	410	0.2582743983413755	-0.0288569702507771
pa2196	rest	2	fsLR	91k	0.1639655079439024	0.1639655079439024	0.0910326442542787	0.473857	1.2373381449822054	1.2031372065992716	0	0	410	0.3529560178641767	0.1026588594502099
pa2213	rest	1	fsLR	91k	0.2318152523146338	0.2318152523146338	0.136900940586797	0.345431	1.279145161698289	1.2647811147739203	0	0	410	0.2507308847597405	0.1497214419639045
pa2213	rest	2	fsLR	91k	0.2682010904073167	0.2682010904073167	0.1671201095354523	0.499242	1.273223363557065	1.269323758354888	0	0	410	0.3599603058108148	0.1999319257615243
pa2216	rest	1	fsLR	91k	0.1752893550926827	0.1752893550926827	0.0958830433251833	2.33386	1.215769625535833	1.2395041134222398	0	0	410	0.7602196847475376	0.1081590077135292
pa2216	rest	2	fsLR	91k	0.1409953184243902	0.1409953184243902	0.0818885687041564	0.493413	1.214778668648072	1.2318903183059833	0	0	410	0.3215371264463503	-0.0362913919100183
pa2220	rest	1	fsLR	91k	0.1240060678219513	0.1240060678219513	0.0705233205378973	0.37848	1.2409013619515323	1.2606839282914435	0	0	410	0.2689414947258074	0.0367331816024823
pa2220	rest	2	fsLR	91k	0.0963100878048779	0.0963100878048779	0.0522121055501222	0.308404	1.2390231561513934	1.2553947123434732	0	0	410	0.2330759953925659	0.0658981075801022
pa2221	rest	1	fsLR	91k	0.1390909806634147	0.1390909806634147	0.0767761528117359	0.375568	1.2413227292834617	1.2026971769562294	0	0	410	0.3586484833890395	0.1477727679210946
pa2221	rest	2	fsLR	91k	0.1349689512775609	0.1349689512775609	0.0745156250366748	0.383546	1.2297650700191112	1.2129906127692305	0	0	410	0.3967157133966552	-0.0764924801651576
pa2226	rest	1	fsLR	91k	0.1108766749424387	0.1108766749424387	0.0616281422493887	0.232808	1.2363253640904943	1.197672925018986	0	0	410	0.1696376273693995	-0.1838768697544128
pa2226	rest	2	fsLR	91k	0.1331088773170729	0.1331088773170729	0.0743212442542787	0.250125	1.2443713352730588	1.1964903089004515	0	0	410	0.2606930242488496	0.0627183911669886
