parc,metric,map,Z,p,pmeff
Schaefer200Subcortical,original,KOR,4.49614607435817,3.459810376668382e-06,2.968046923479406e-05
Schaefer200Subcortical,original,CB1,0.8014918042144887,0.21142349344275985,0.8696686953106452
Schaefer200Subcortical,inverted,CMRglu,2.271584048098624,0.011555822634084306,0.09490176034953424
Schaefer200Subcortical,inverted,SV2A,3.1845733879673994,0.0007248377375738352,0.006201151541415206
Schaefer200Subcortical,inverted,HDAC,1.8176270886943175,0.03456057422694031,0.2604631687061367
Schaefer200Subcortical,inverted,VMAT2,5.588808359009735,1.143165491462967e-08,9.806933909395354e-08
Schaefer200Subcortical,inverted,mGluR5,1.225913261089213,0.11011565894966058,0.632425673155123
Schaefer200Subcortical,inverted,NMDA,4.790032171669751,8.33772874916041e-07,7.152708884961001e-06
Schaefer200Subcortical,inverted,GABAa,2.2275120066713083,0.012956537133995414,0.1058460160628164
Schaefer200Subcortical,inverted,GABAa5,2.789618559930022,0.0026385085799428168,0.02241010512008179
Schaefer200Subcortical,inverted,NET,-4.584876028772208,0.9999977287206075,1.0
Schaefer200Subcortical,inverted,A4B2,2.3875783405126336,0.008479893860448721,0.07045225994001847
Schaefer200Subcortical,inverted,M1,3.6836762739714706,0.00011494708721892079,0.000985673243705465
Schaefer200Subcortical,inverted,VAChT,1.396729792914904,0.0812474207460222,0.5166189327690807
Schaefer200Subcortical,inverted,FDOPA,5.588808359009735,1.143165491462967e-08,9.806933909395354e-08
Schaefer200Subcortical,inverted,D1,5.588808359009735,1.143165491462967e-08,9.806933909395354e-08
Schaefer200Subcortical,inverted,D23,5.562745303410291,1.327816729977369e-08,1.1391011112138472e-07
Schaefer200Subcortical,inverted,DAT,0.5194285248097414,0.3017309719552185,0.9540897178416065
Schaefer200Subcortical,inverted,5HT1a,0.8933838367708998,0.1858258276918317,0.8285782360088004
Schaefer200Subcortical,inverted,5HT1b,1.3462914647775355,0.08910426868311866,0.550953094771079
Schaefer200Subcortical,inverted,5HT2a,3.6558789189747283,0.00012815115775789305,0.0010988433967341615
Schaefer200Subcortical,inverted,5HT4,5.588808359009735,1.143165491462967e-08,9.806933909395354e-08
Schaefer200Subcortical,inverted,5HT6,5.561412782040416,1.3379970424069326e-08,1.147834548520521e-07
Schaefer200Subcortical,inverted,5HTT,3.2254656006366558,0.0006288397432995542,0.005381823500118732
Schaefer200Subcortical,inverted,MOR,5.588808359009735,1.143165491462967e-08,9.806933909395354e-08
Schaefer200Subcortical,inverted,KOR,1.1607110483797838,0.12287971363700734,0.6752728765758551
Schaefer200Subcortical,inverted,CB1,5.546909241291952,1.4538178629580477e-08,1.2471943577896383e-07
