,,,,,,"ICC(2,1)","ICC(2,1)","ICC(2,1)","ICC(2,1)","ICC(2,1)","ICC(2,1)","ICC(2,k)","ICC(2,k)","ICC(2,k)","ICC(2,k)","ICC(2,k)","ICC(2,k)","ICC(3,1)","ICC(3,1)","ICC(3,1)","ICC(3,1)","ICC(3,1)","ICC(3,1)","ICC(3,k)","ICC(3,k)","ICC(3,k)","ICC(3,k)","ICC(3,k)","ICC(3,k)",CV,CV
,,,,,,ICC,F,df1,df2,pval,CI95%,ICC,F,df1,df2,pval,CI95%,ICC,F,df1,df2,pval,CI95%,ICC,F,df1,df2,pval,CI95%,WCV,pval
parc,measure,connections,metric,stat,map,,,,,,,,,,,,,,,,,,,,,,,,,,
Schaefer100,pearson,all,inverted,auc,A4B2,0.5911647789845119,3.9326277726766445,111,111,1.922438474101831e-12,[0.46 0.7 ],0.7430591561507486,3.9326277726766445,111,111,1.922438474101831e-12,[0.63 0.82],0.5945366056042947,3.9326277726766445,111,111,1.922438474101831e-12,[0.46 0.7 ],0.745717098641305,3.9326277726766445,111,111,1.922438474101831e-12,[0.63 0.83],0.2880525185248532,0.001
Schaefer100,pearson,all,inverted,auc,CB1,0.6038973940317548,4.188582836736251,111,111,2.2451335710488416e-13,[0.47 0.71],0.7530374402738116,4.188582836736251,111,111,2.2451335710488416e-13,[0.64 0.83],0.6145382924525014,4.188582836736251,111,111,2.2451335710488416e-13,[0.48 0.72],0.7612557662153816,4.188582836736251,111,111,2.2451335710488416e-13,[0.65 0.84],0.12284076714337888,0.001
Schaefer100,pearson,all,inverted,auc,CMRglu,0.5878787380967136,3.83719530304825,111,111,4.3564882502674285e-12,[0.45 0.7 ],0.7404579757788878,3.83719530304825,111,111,4.3564882502674285e-12,[0.62 0.82],0.5865372649436622,3.83719530304825,111,111,4.3564882502674285e-12,[0.45 0.7 ],0.7393929886222875,3.83719530304825,111,111,4.3564882502674285e-12,[0.62 0.82],0.3378310084112828,0.001
Schaefer100,pearson,all,inverted,auc,D1,0.545623844508074,3.6376358791031334,111,111,2.486098946258011e-11,[0.39 0.67],0.7060241034023771,3.6376358791031334,111,111,2.486098946258011e-11,[0.56 0.8 ],0.5687457894200229,3.6376358791031334,111,111,2.486098946258011e-11,[0.43 0.68],0.7250961797070926,3.6376358791031334,111,111,2.486098946258011e-11,[0.6  0.81],0.20972087332804512,0.001
Schaefer100,pearson,all,inverted,auc,D23,0.5634061145945581,3.7164801903722973,111,111,1.2430759755561242e-11,[0.42 0.68],0.7207418588620111,3.7164801903722973,111,111,1.2430759755561242e-11,[0.59 0.81],0.5759549665696508,3.7164801903722973,111,111,1.2430759755561242e-11,[0.44 0.69],0.7309282038982629,3.7164801903722973,111,111,1.2430759755561242e-11,[0.61 0.81],0.20627759312034838,0.001
Schaefer100,pearson,all,inverted,auc,DAT,0.5225046751760881,3.170856096494357,111,111,1.7206561256736209e-09,[0.37 0.65],0.6863751339425699,3.170856096494357,111,111,1.7206561256736209e-09,[0.54 0.78],0.5204821375446114,3.170856096494357,111,111,1.7206561256736209e-09,[0.37 0.64],0.6846277568049894,3.170856096494357,111,111,1.7206561256736209e-09,[0.54 0.78],10.48558616022782,0.5680000000000001
Schaefer100,pearson,all,inverted,auc,FDOPA,0.4572216721324487,2.8341498019095637,111,111,4.187106391788526e-08,[0.29 0.6 ],0.6275252157941983,2.8341498019095637,111,111,4.187106391788526e-08,[0.45 0.75],0.47837197205912035,2.8341498019095637,111,111,4.187106391788526e-08,[0.32 0.61],0.6471604996580524,2.8341498019095637,111,111,4.187106391788526e-08,[0.49 0.76],0.18735519077191476,0.001
Schaefer100,pearson,all,inverted,auc,GABAa5,0.521148661586651,3.385227008739381,111,111,2.389719966981943e-10,[0.36 0.65],0.6852041154781822,3.385227008739381,111,111,2.389719966981943e-10,[0.53 0.79],0.543923268735194,3.385227008739381,111,111,2.389719966981943e-10,[0.4  0.66],0.7045988356413392,3.385227008739381,111,111,2.389719966981943e-10,[0.57 0.8 ],0.17260116422792293,0.001
Schaefer100,pearson,all,inverted,auc,GABAa,0.5473955988325995,3.3975934551595937,111,111,2.135588787943217e-10,[0.4  0.67],0.7075056944010578,3.3975934551595937,111,111,2.135588787943217e-10,[0.57 0.8 ],0.5452057994007048,3.3975934551595937,111,111,2.135588787943217e-10,[0.4  0.66],0.7056740268670468,3.3975934551595937,111,111,2.135588787943217e-10,[0.57 0.8 ],0.18669636662166791,0.001
Schaefer100,pearson,all,inverted,auc,HDAC,0.5962087505126374,3.9286743845761873,111,111,1.9883292646655054e-12,[0.46 0.7 ],0.7470310513222778,3.9286743845761873,111,111,1.9883292646655054e-12,[0.63 0.83],0.5942113753225801,3.9286743845761873,111,111,1.9883292646655054e-12,[0.46 0.7 ],0.7454612161481342,3.9286743845761873,111,111,1.9883292646655054e-12,[0.63 0.82],0.32126346190184857,0.001
Schaefer100,pearson,all,inverted,auc,KOR,0.6148906034158803,4.167437567176117,111,111,2.674116062271875e-13,[0.48 0.72],0.7615260155892163,4.167437567176117,111,111,2.674116062271875e-13,[0.65 0.84],0.612960974564236,4.167437567176117,111,111,2.674116062271875e-13,[0.48 0.72],0.7600443956554324,4.167437567176117,111,111,2.674116062271875e-13,[0.65 0.83],0.155512414624615,0.001
Schaefer100,pearson,all,inverted,auc,M1,0.54986982610457,3.5003126558637008,111,111,8.445294253718491e-11,[0.41 0.67],0.7095690448876062,3.5003126558637008,111,111,8.445294253718491e-11,[0.58 0.8 ],0.5555864330016955,3.5003126558637008,111,111,8.445294253718491e-11,[0.41 0.67],0.7143112349335975,3.5003126558637008,111,111,8.445294253718491e-11,[0.58 0.8 ],0.2368890438424325,0.001
