,,,,,,"ICC(2,1)","ICC(2,1)","ICC(2,1)","ICC(2,1)","ICC(2,1)","ICC(2,1)","ICC(2,k)","ICC(2,k)","ICC(2,k)","ICC(2,k)","ICC(2,k)","ICC(2,k)","ICC(3,1)","ICC(3,1)","ICC(3,1)","ICC(3,1)","ICC(3,1)","ICC(3,1)","ICC(3,k)","ICC(3,k)","ICC(3,k)","ICC(3,k)","ICC(3,k)","ICC(3,k)",CV,CV
,,,,,,ICC,F,df1,df2,pval,CI95%,ICC,F,df1,df2,pval,CI95%,ICC,F,df1,df2,pval,CI95%,ICC,F,df1,df2,pval,CI95%,WCV,pval
parc,measure,connections,metric,stat,map,,,,,,,,,,,,,,,,,,,,,,,,,,
Schaefer100,pearson,all,original,poly2,Dorsal Somatomotor,0.704182561572805,5.88241923826635,111,111,7.212438579247081e-19,[0.6  0.79],0.8264168140799525,5.88241923826635,111,111,7.212438579247081e-19,[0.75 0.88],0.7094045086820677,5.88241923826635,111,111,7.212438579247081e-19,[0.6  0.79],0.8300019159643037,5.88241923826635,111,111,7.212438579247081e-19,[0.75 0.88],1.0709267161122424,0.8280000000000001
Schaefer100,pearson,all,original,poly2,Lateral Somatomotor,0.6347972188751643,4.463730001377453,111,111,2.4039704659405922e-14,[0.51 0.73],0.7766066782422615,4.463730001377453,111,111,2.4039704659405922e-14,[0.68 0.85],0.6339497011207027,4.463730001377453,111,111,2.4039704659405922e-14,[0.51 0.73],0.7759721130777596,4.463730001377453,111,111,2.4039704659405922e-14,[0.67 0.85],0.298557427407871,0.001
Schaefer100,pearson,all,original,poly2,Salience,0.5575535740268089,3.506024591684001,111,111,8.023276014835493e-11,[0.42 0.67],0.7159350192819913,3.506024591684001,111,111,8.023276014835493e-11,[0.59 0.8 ],0.5561497814079714,3.506024591684001,111,111,8.023276014835493e-11,[0.41 0.67],0.714776672596103,3.506024591684001,111,111,8.023276014835493e-11,[0.59 0.8 ],0.2059945511212281,0.001
Schaefer100,pearson,all,original,poly2,Ventral Attention,0.6087575567168525,4.090388510613569,111,111,5.076469734366098e-13,[0.48 0.71],0.756804596410665,4.090388510613569,111,111,5.076469734366098e-13,[0.65 0.83],0.6071026807030628,4.090388510613569,111,111,5.076469734366098e-13,[0.48 0.71],0.7555244453172989,4.090388510613569,111,111,5.076469734366098e-13,[0.64 0.83],0.1911134768638703,0.001
Schaefer100,pearson,all,original,poly2,Visual,0.6000904438972054,4.03935994861545,111,111,7.787325168338864e-13,[0.47 0.71],0.7500706553007288,4.03935994861545,111,111,7.787325168338864e-13,[0.64 0.83],0.603124202201612,4.03935994861545,111,111,7.787325168338864e-13,[0.47 0.71],0.7524360263207629,4.03935994861545,111,111,7.787325168338864e-13,[0.64 0.83],0.16591368861331213,0.001
Schaefer100,pearson,all,inverted,poly2,Auditory,0.6209822398289534,4.330423096629665,111,111,7.029714570935466e-14,[0.49 0.72],0.7661801894812612,4.330423096629665,111,111,7.029714570935466e-14,[0.66 0.84],0.6247952622626587,4.330423096629665,111,111,7.029714570935466e-14,[0.5  0.73],0.7690756820555728,4.330423096629665,111,111,7.029714570935466e-14,[0.66 0.84],0.14210221554168728,0.001
Schaefer100,pearson,all,inverted,poly2,Cingulo-Opercular,0.6233327536679455,4.532701284375045,111,111,1.3893121332264551e-14,[0.49 0.73],0.7679667058519154,4.532701284375045,111,111,1.3893121332264551e-14,[0.66 0.84],0.6385129257478224,4.532701284375045,111,111,1.3893121332264551e-14,[0.51 0.74],0.7793810054399213,4.532701284375045,111,111,1.3893121332264551e-14,[0.68 0.85],0.11774412789982809,0.001
Schaefer100,pearson,all,inverted,poly2,Dorsal Attention,0.5995983434872111,4.186199296278313,111,111,2.2897717944065766e-13,[0.46 0.71],0.7496861270561886,4.186199296278313,111,111,2.2897717944065766e-13,[0.63 0.83],0.6143611369822931,4.186199296278313,111,111,2.2897717944065766e-13,[0.48 0.72],0.7611198298922277,4.186199296278313,111,111,2.2897717944065766e-13,[0.65 0.84],0.1265090046614048,0.001
Schaefer100,pearson,all,inverted,poly2,Default Mode,0.5616049984357707,3.593562240078952,111,111,3.673082023837379e-11,[0.42 0.68],0.7192663945086235,3.593562240078952,111,111,3.673082023837379e-11,[0.59 0.81],0.5646080546052152,3.593562240078952,111,111,3.673082023837379e-11,[0.42 0.68],0.7217245915913149,3.593562240078952,111,111,3.673082023837379e-11,[0.6  0.81],1.4716730439163532,0.384
Schaefer100,pearson,all,inverted,poly2,Frontoparietal,0.6216042975340809,4.359540595513788,111,111,5.552608680047541e-14,[0.49 0.72],0.7666534905948802,4.359540595513788,111,111,5.552608680047541e-14,[0.66 0.84],0.6268336876347006,4.359540595513788,111,111,5.552608680047541e-14,[0.5  0.73],0.7706180323153644,4.359540595513788,111,111,5.552608680047541e-14,[0.67 0.84],6.4620903223163975,0.741
Schaefer100,pearson,all,inverted,poly2,Medial Parietal,0.5378557863957023,3.425834864090511,111,111,1.65297207958486e-10,[0.39 0.66],0.6994879378856241,3.425834864090511,111,111,1.65297207958486e-10,[0.56 0.79],0.5481078572932724,3.425834864090511,111,111,1.65297207958486e-10,[0.4  0.67],0.708100349353681,3.425834864090511,111,111,1.65297207958486e-10,[0.58 0.8 ],1.8733032247052381,0.04300000000000004
Schaefer100,pearson,all,inverted,poly2,Occipital Parietal,0.5861032027464751,3.8947290529980636,111,111,2.6573533451966677e-12,[0.45 0.7 ],0.7390480035997489,3.8947290529980636,111,111,2.6573533451966677e-12,[0.62 0.82],0.5913971992433406,3.8947290529980636,111,111,2.6573533451966677e-12,[0.46 0.7 ],0.7432427297528629,3.8947290529980636,111,111,2.6573533451966677e-12,[0.63 0.82],3.59736371581822,0.039000000000000035
