,hemi-L_lab-Thalamus,hemi-L_lab-Caudate,hemi-L_lab-Putamen,hemi-L_lab-Pallidum,hemi-L_lab-Hippocampus,hemi-L_lab-Amygdala,hemi-L_lab-Accumbens+area,hemi-L_lab-VentralDC,hemi-R_lab-Thalamus,hemi-R_lab-Caudate,hemi-R_lab-Putamen,hemi-R_lab-Pallidum,hemi-R_lab-Hippocampus,hemi-R_lab-Amygdala,hemi-R_lab-Accumbens+area,hemi-R_lab-VentralDC
HDAC,0.16444577134385757,0.2107077385722394,1.7535519723806352,-0.07747968057323086,-1.2802576059613802,-1.3950600045158557,0.7463563531030392,-0.9923125669834219,0.3777703634945958,0.21532538409965643,1.8975922369819882,0.4823953950392251,-0.7988284815601573,-0.8874679777185199,0.561510130622078,-0.9782490283247514
KOR,-1.032724597584216,-0.923850882542212,0.5133644692966918,0.836451450083475,-0.648982097903171,1.656141589453313,0.9846983528542596,-0.7971019740004209,-1.1561832329999646,-1.097906782560257,0.35585082955081077,0.29021642961698657,-0.8000450408854689,1.5280766845737035,1.0339909123786075,-0.7419961093321368
M1,-1.2568113335468034,0.8147491454276602,1.2381135991607906,-0.22571780671918046,-0.4889522386901182,0.031458259327195225,1.2766067340500564,-1.3777839545797792,-1.2651960639623578,0.8009312953957773,1.3086915945303366,-0.1932690307430909,-0.4944786049822422,0.029894810056340308,1.155347369484,-1.3535837742085863
mGluR5,-0.5020129049099399,0.7390462469447768,1.1333899464134576,-0.5136261114179008,0.04785717163857368,0.021821904998605018,1.1641106335592373,-1.9560554016965284,-0.5708995802927935,0.6428052311199987,1.1934800646205765,-0.403412388076177,0.003900971123691388,-0.047487137855612885,1.0543538586508023,-2.007272504820768
MOR,0.6376738930501715,0.36999999659296173,0.2543580023617431,-0.9661326005162736,-1.3221613874812497,0.420467242839692,1.7881185061193583,-1.0354711610531002,0.5500915790720402,0.3758684550537769,0.2678878108529363,-0.8752533147746083,-1.409133545745588,0.314629870215748,1.674615554179897,-1.045558900767508
NET,1.7701654356546923,-0.8113148832164795,-0.35765350550200725,-0.5189734864273885,-0.8416655939185855,-0.2316145955922118,-0.25547452265439263,1.2841029347041397,2.1426769086208415,-0.9861702041377021,-0.2532826076306186,-0.41239823649729423,-0.7882721043128292,-0.5511965452878482,-0.39536089718366385,1.2064319033813447
NMDA,1.30843599162524,0.34012917446603774,1.0575269979801756,0.49521467580169853,0.05968634046235569,-1.16796616278238,-0.060787731701599505,-1.6719711899266594,1.4887191713300512,-0.005771152980457839,0.8571027385535194,0.2761328674025606,-0.008041476395617747,-1.2511711799456697,0.028700793154110033,-1.7459398570433649
SV2A,-0.4699365356000612,0.5250738525478139,1.292471354488006,-0.5989681699436304,-0.5530357059761567,0.09113066013303485,1.289393140931602,-1.800659917164591,-0.41062424422862975,0.3704492859711987,1.381358427729859,-0.4056942674352522,-0.4942351635453655,0.17548898887915396,1.3079859408710222,-1.7001976476580054
VAChT,-0.5099701495890399,1.3646294990495735,1.7027678445555898,-0.6110061532057625,-0.8716867933465096,-0.6624938967707888,0.5538719570910117,-0.9312161874059447,-0.5172832506975775,1.2703456944064784,1.6860105407632184,-0.4483161847015795,-0.8631007160114412,-0.7029007433302943,0.46395558968521117,-0.9236070504921464
VMAT2,-1.006727108922721,1.336574321712923,1.6887987641319033,-0.1766222326684434,-0.9039995897887566,-0.6853640007191609,0.44341673498810424,-0.6357452289384636,-1.0247673925121583,1.2475184892701823,1.7044235902972353,-0.04811188950477951,-0.916525690975537,-0.6860831820877342,0.35497925732891383,-0.6917648416115092
