metric,map,fqband,rho,p
original,KOR,theta,-0.041871921182266,0.829250484585806
original,KOR,alpha,0.034482758620689655,0.8590531294076332
original,KOR,beta,0.10147783251231525,0.6004229677669772
original,KOR,lgamma,0.09901477832512312,0.6093404638385995
original,KOR,hgamma,0.2960591133004925,0.11890397681913818
original,CB1,delta,-0.07684729064039407,0.6919437425851316
original,CB1,theta,0.33645320197044326,0.07432662204807469
original,CB1,alpha,0.18275862068965515,0.34266201813832065
original,CB1,beta,-0.17536945812807878,0.36285842847797944
original,CB1,lgamma,0.0586206896551724,0.7626094680984032
original,CB1,hgamma,0.023152709359605905,0.905107008990093
inverted,CMRglu,delta,-0.06896551724137931,0.7222315973301038
inverted,CMRglu,theta,-0.07881773399014776,0.684441732767979
inverted,CMRglu,alpha,-0.1719211822660098,0.3725188052949504
inverted,CMRglu,beta,0.22709359605911325,0.23613651439257807
inverted,CMRglu,lgamma,0.17487684729064035,0.3642293473635895
inverted,CMRglu,hgamma,0.08571428571428569,0.6584191261984815
inverted,SV2A,delta,0.21083743842364527,0.2722699893378561
inverted,SV2A,theta,-0.04679802955665024,0.8095074450604085
inverted,SV2A,alpha,-0.396551724137931,0.03319142909169863
inverted,SV2A,beta,0.31083743842364525,0.10075043138607834
inverted,SV2A,lgamma,-0.013300492610837433,0.9454054484448566
inverted,SV2A,hgamma,-0.032512315270935954,0.8670343441310322
inverted,HDAC,delta,0.1339901477832512,0.4883382225851124
inverted,HDAC,theta,-0.16256157635467974,0.3994864516581882
inverted,HDAC,alpha,-0.27684729064039404,0.1459789349005753
inverted,HDAC,beta,0.13497536945812805,0.4851167413080266
inverted,HDAC,lgamma,-0.02118226600985221,0.9131514437916961
inverted,HDAC,hgamma,0.015270935960591127,0.9373320606476712
inverted,VMAT2,delta,0.20197044334975364,0.29340644071513033
inverted,VMAT2,theta,-0.11921182266009848,0.5379345304849434
inverted,VMAT2,alpha,-0.18226600985221672,0.3439869443590987
inverted,VMAT2,beta,0.29113300492610833,0.1254619116125949
inverted,VMAT2,lgamma,-0.0083743842364532,0.965610361799865
inverted,VMAT2,hgamma,-0.06403940886699507,0.7413756406285694
inverted,mGluR5,delta,0.16600985221674872,0.3894248052313538
inverted,mGluR5,theta,-0.06600985221674875,0.7336991671911346
inverted,mGluR5,alpha,-0.08472906403940884,0.662113699345471
inverted,mGluR5,beta,0.2669950738916256,0.16147272541272203
inverted,mGluR5,lgamma,-0.13103448275862067,0.4980675451523833
inverted,mGluR5,hgamma,-0.19113300492610832,0.32061099220778855
inverted,NMDA,delta,0.24532019704433491,0.19960223136798566
inverted,NMDA,theta,-0.08325123152709359,0.6676701120758934
inverted,NMDA,alpha,-0.39064039408866985,0.03615341876540557
