A,B,sub,rho,p
mri_original,meg-delta_inverted,sub-212823,0.023076923076923078,0.912812592529089
mri_original,meg-delta_inverted,sub-255639,-0.21307692307692308,0.3064753923200176
mri_original,meg-delta_inverted,sub-257845,-0.04923076923076923,0.815223274483154
mri_original,meg-delta_inverted,sub-287248,0.5223076923076923,0.00739837730776276
mri_original,meg-delta_inverted,sub-353740,-0.5692307692307692,0.00298031586861517
mri_original,meg-delta_inverted,sub-406836,-0.26692307692307693,0.1971058089027914
mri_original,meg-delta_inverted,sub-512835,-0.5853846153846154,0.0021113531540244168
mri_original,meg-delta_inverted,sub-568963,-0.4592307692307693,0.020927198697327763
mri_original,meg-delta_inverted,sub-599671,-0.43461538461538457,0.02992822172047774
mri_original,meg-delta_inverted,sub-725751,-0.06692307692307692,0.7506056746243597
mri_original,meg-delta_inverted,sub-783462,-0.1523076923076923,0.46734387324425375
mri_original,meg-delta_inverted,sub-825048,0.16846153846153847,0.4208415376807141
mri_original,meg-delta_inverted,sub-891667,-0.36,0.0771175664335245
mri_inverted,meg-delta_original,sub-102816,-0.023846153846153843,0.9099177127623183
mri_inverted,meg-delta_original,sub-106521,-0.12,0.5677601210384973
mri_inverted,meg-delta_original,sub-113922,-0.2323076923076923,0.26380400497771206
mri_inverted,meg-delta_original,sub-153732,-0.03846153846153846,0.8551673034402157
mri_inverted,meg-delta_original,sub-162935,-0.013076923076923076,0.9505312934668323
mri_inverted,meg-delta_original,sub-164636,0.13384615384615384,0.5235721336415065
mri_inverted,meg-delta_original,sub-172029,-0.24,0.24786475636345956
mri_inverted,meg-delta_original,sub-175540,-0.6376923076923077,0.0006056281450803111
mri_inverted,meg-delta_original,sub-177746,-0.21384615384615382,0.30469106597880624
mri_inverted,meg-delta_original,sub-179245,0.1476923076923077,0.4811005696665245
mri_inverted,meg-delta_original,sub-181232,-0.06230769230769231,0.7673245235239029
mri_inverted,meg-delta_original,sub-187547,-0.06461538461538462,0.7589519561117964
mri_inverted,meg-delta_original,sub-189349,0.1392307692307692,0.50684516288957
mri_inverted,meg-delta_original,sub-195041,-0.19307692307692306,0.3551204559765637
mri_inverted,meg-delta_original,sub-198653,-0.5707692307692307,0.0028862249955300826
mri_inverted,meg-delta_original,sub-212318,-0.2915384615384616,0.15736225008219257
mri_inverted,meg-delta_original,sub-212823,-0.022307692307692306,0.915708552227811
mri_inverted,meg-delta_original,sub-255639,-0.21538461538461537,0.30114175791935804
mri_inverted,meg-delta_original,sub-257845,0.11846153846153845,0.5727706028933913
mri_inverted,meg-delta_original,sub-287248,0.4330769230769231,0.030580246309330112
mri_inverted,meg-delta_original,sub-353740,-0.5499999999999999,0.004394702977282546
mri_inverted,meg-delta_original,sub-406836,-0.05846153846153846,0.7813348550958149
mri_inverted,meg-delta_original,sub-512835,-0.45999999999999996,0.020686192908586393
mri_inverted,meg-delta_original,sub-568963,-0.19538461538461538,0.34928733392328004
mri_inverted,meg-delta_original,sub-599671,-0.5084615384615384,0.009450280771159735
mri_inverted,meg-delta_original,sub-725751,-0.020769230769230772,0.921503568780896
mri_inverted,meg-delta_original,sub-783462,-0.16076923076923075,0.44266155514604155
mri_inverted,meg-delta_original,sub-825048,0.02846153846153846,0.8925731044757399
mri_inverted,meg-delta_original,sub-891667,-0.2076923076923077,0.31914600560232353
meg-theta_original,meg-theta_inverted,sub-102816,-0.42153846153846153,0.03584093437956855
meg-theta_original,meg-theta_inverted,sub-106521,-0.6292307692307691,0.000752509291601508
meg-theta_original,meg-theta_inverted,sub-113922,-0.47307692307692306,0.016922533876749954
meg-theta_original,meg-theta_inverted,sub-153732,-0.5938461538461539,0.0017499536930720167
meg-theta_original,meg-theta_inverted,sub-162935,-0.4684615384615385,0.018180965586760994
meg-theta_original,meg-theta_inverted,sub-164636,-0.6692307692307693,0.0002540133332153958
meg-theta_original,meg-theta_inverted,sub-172029,-0.6623076923076924,0.0003100263861625134
meg-theta_original,meg-theta_inverted,sub-175540,-0.6553846153846155,0.0003765173630692511
meg-theta_original,meg-theta_inverted,sub-177746,-0.7392307692307692,2.4276012747265496e-05
meg-theta_original,meg-theta_inverted,sub-179245,-0.5069230769230769,0.009704932351348812
meg-theta_original,meg-theta_inverted,sub-181232,-0.81,9.292598628661131e-07
meg-theta_original,meg-theta_inverted,sub-187547,-0.74,2.3563369297304354e-05
meg-theta_original,meg-theta_inverted,sub-189349,-0.7007692307692307,9.56604413042009e-05
meg-theta_original,meg-theta_inverted,sub-195041,-0.8261538461538462,3.64009155957771e-07
meg-theta_original,meg-theta_inverted,sub-198653,-0.7276923076923076,3.7507823601612086e-05
meg-theta_original,meg-theta_inverted,sub-212318,-0.7492307692307693,1.6346353224807858e-05
meg-theta_original,meg-theta_inverted,sub-212823,-0.46384615384615385,0.01951476779247494
meg-theta_original,meg-theta_inverted,sub-255639,-0.4176923076923077,0.03774613883179592
meg-theta_original,meg-theta_inverted,sub-257845,-0.6153846153846153,0.0010594614438682035
meg-theta_original,meg-theta_inverted,sub-287248,-0.43615384615384617,0.029287387372710263
meg-theta_original,meg-theta_inverted,sub-353740,-0.6092307692307692,0.0012272604760963429
meg-theta_original,meg-theta_inverted,sub-406836,-0.6630769230769231,0.00030331290957102215
meg-theta_original,meg-theta_inverted,sub-512835,-0.8430769230769231,1.2240946853969842e-07
meg-theta_original,meg-theta_inverted,sub-568963,-0.74,2.3563369297304354e-05
meg-theta_original,meg-theta_inverted,sub-599671,-0.7284615384615384,3.646009878833881e-05
meg-theta_original,meg-theta_inverted,sub-725751,-0.66,0.00033095028439849206
meg-theta_original,meg-theta_inverted,sub-783462,-0.5276923076923077,0.006708216074188613
meg-theta_original,meg-theta_inverted,sub-825048,-0.6423076923076922,0.0005365252209934896
meg-theta_original,meg-theta_inverted,sub-891667,-0.7430769230769232,2.0894462171582818e-05
mri_original,meg-theta_original,sub-102816,0.39384615384615385,0.05141834691357266
mri_original,meg-theta_original,sub-106521,0.014615384615384615,0.9447196857477185
mri_original,meg-theta_original,sub-113922,0.11461538461538462,0.5853816553920668
mri_original,meg-theta_original,sub-153732,0.33,0.1071735605208438
mri_original,meg-theta_original,sub-162935,-0.04923076923076923,0.815223274483154
mri_original,meg-theta_original,sub-164636,0.18846153846153846,0.3669574194662061
mri_original,meg-theta_original,sub-172029,-0.10769230769230768,0.6083790310806795
mri_original,meg-theta_original,sub-175540,0.023076923076923078,0.912812592529089
mri_original,meg-theta_original,sub-177746,-0.24461538461538462,0.23860976723289992
mri_original,meg-theta_original,sub-179245,0.0876923076923077,0.67681114475276
mri_original,meg-theta_original,sub-181232,-0.26615384615384613,0.19844887309568146
mri_original,meg-theta_original,sub-187547,0.4115384615384615,0.04096068244289257
mri_original,meg-theta_original,sub-189349,0.061538461538461535,0.7701210708628821
mri_original,meg-theta_original,sub-195041,0.43538461538461537,0.029606414240314072
mri_original,meg-theta_original,sub-198653,0.4992307692307692,0.011065261834899007
mri_original,meg-theta_original,sub-212318,0.41000000000000003,0.0417971695800554
mri_original,meg-theta_original,sub-212823,-0.009999999999999998,0.9621615894640947
mri_original,meg-theta_original,sub-255639,0.03230769230769231,0.8781554683498889
mri_original,meg-theta_original,sub-257845,-0.15999999999999998,0.44487621013103373
mri_original,meg-theta_original,sub-287248,0.13692307692307693,0.5139816221819469
mri_original,meg-theta_original,sub-353740,0.002307692307692308,0.9912651655388018
mri_original,meg-theta_original,sub-406836,0.6215384615384615,0.0009118194703398151
mri_original,meg-theta_original,sub-512835,0.5092307692307693,0.009325053309110123
mri_original,meg-theta_original,sub-568963,0.1815384615384615,0.38513664752146737
mri_original,meg-theta_original,sub-599671,0.3853846153846154,0.05710480980721743
mri_original,meg-theta_original,sub-725751,0.42846153846153845,0.03260482391107621
mri_original,meg-theta_original,sub-783462,0.20846153846153848,0.31731661623634716
mri_original,meg-theta_original,sub-825048,-0.17846153846153845,0.3933781555180631
mri_original,meg-theta_original,sub-891667,0.3546153846153846,0.08197511194517204
mri_inverted,meg-theta_inverted,sub-102816,0.6376923076923077,0.0006056281450803111
mri_inverted,meg-theta_inverted,sub-106521,0.13153846153846155,0.5308207561584127
mri_inverted,meg-theta_inverted,sub-113922,0.17307692307692307,0.4080380104040632
mri_inverted,meg-theta_inverted,sub-153732,0.57,0.002932949611307605
mri_inverted,meg-theta_inverted,sub-162935,0.3653846153846153,0.07248196046410411
mri_inverted,meg-theta_inverted,sub-164636,0.5830769230769232,0.0022203297518509847
mri_inverted,meg-theta_inverted,sub-172029,0.6553846153846155,0.0003765173630692511
mri_inverted,meg-theta_inverted,sub-175540,0.5669230769230769,0.0031263355642155927
mri_inverted,meg-theta_inverted,sub-177746,0.2569230769230769,0.21505370359693765
mri_inverted,meg-theta_inverted,sub-179245,0.36076923076923073,0.07644189053034321
