parc,metric,map,effect,converged,df_model,df_resid,beta,chi2,p,pmeff
Schaefer200,original,5HTT,treat,True,4,57,-0.08749401496704715,0.2730563437278387,0.6012888808326824,0.999872015204494
Schaefer200,original,MOR,treat,True,4,57,-0.3995917359490955,3.3411173998636,0.06756870870423325,0.4943844197038354
Schaefer200,original,KOR,treat,True,4,57,-0.5705333985741101,9.687646253187209,0.0018551102319176666,0.01793785064933051
Schaefer200,original,CB1,treat,True,4,57,-0.29616366870699495,1.9322931062696707,0.16450778574987734,0.8265864554632234
Schaefer200,inverted,CMRglu,treat,True,4,57,-0.008431332002015953,0.0016765900683181822,0.9673387979720676,0.9999999999994693
Schaefer200,inverted,SV2A,treat,True,4,57,-0.04246888274961722,0.03926119372088331,0.8429321060751619,0.9999997713943833
Schaefer200,inverted,HDAC,treat,True,4,57,-0.05047774264918139,0.0660283450305015,0.7972097968972589,0.9999981133344094
Schaefer200,inverted,VMAT2,treat,True,4,57,0.02766591884931165,0.021389920634035123,0.8837217196624702,0.9999999809310598
Schaefer200,inverted,mGluR5,treat,True,4,57,-0.06673702416509225,0.11555620253452943,0.7339050370934115,0.9999822017595309
Schaefer200,inverted,NMDA,treat,True,4,57,0.07033581719833039,0.09735027330879516,0.7550328831028715,0.9999910137589655
Schaefer200,inverted,GABAa,treat,True,4,57,-0.053579003325261984,0.05706948050623614,0.8111891783829637,0.9999989542062677
Schaefer200,inverted,GABAa5,treat,True,4,57,-0.012106195245138453,0.004751670923643856,0.9450434563584108,0.9999999999609495
Schaefer200,inverted,NET,treat,True,4,57,-0.042365424151151305,0.09177036998790618,0.761938447032801,0.9999929043559136
Schaefer200,inverted,A4B2,treat,True,4,57,0.02596251769289505,0.011993693205522722,0.9127934529975328,0.9999999982292751
Schaefer200,inverted,M1,treat,True,4,57,0.01091062859334789,0.0024292637915623028,0.9606901313664902,0.9999999999975479
Schaefer200,inverted,VAChT,treat,True,4,57,-0.01758328447090505,0.014845122199743049,0.9030252905445226,0.9999999957435372
Schaefer200,inverted,FDOPA,treat,True,4,57,0.03225154700201572,0.031426379303356844,0.8592924894986714,0.9999999078553421
Schaefer200,inverted,D1,treat,True,4,57,0.0927956288725384,0.21366395243207303,0.6439106680632569,0.9998025100413819
Schaefer200,inverted,D23,treat,True,4,57,0.10126972889364667,0.3008501577230204,0.5833499385208019,0.9992771791567189
Schaefer200,inverted,DAT,treat,True,4,57,0.1231319686301671,0.29817062150536755,0.585031556074743,0.9993009283586693
Schaefer200,inverted,5HT1a,treat,True,4,57,-0.1079310103551764,0.39825889643498547,0.5279898077704618,0.9979741981088855
Schaefer200,inverted,5HT1b,treat,True,4,57,0.1169133618068006,0.2734237925874393,0.6010442554714999,0.9994949402664907
Schaefer200,inverted,5HT2a,treat,True,4,57,-0.033265327956129805,0.028039989119702895,0.8670148429828042,0.999999942194991
Schaefer200,inverted,5HT4,treat,True,4,57,0.04362530467962353,0.06188027777796772,0.8035483928297841,0.999998548664275
Schaefer200,inverted,5HT6,treat,True,4,57,-0.043455922741998436,0.04400448951040102,0.833845260111576,0.9999996362038678
Schaefer200,inverted,5HTT,treat,True,4,57,0.0012488141837806853,2.851648739138137e-05,0.9957392504006122,1.0
Schaefer200,inverted,MOR,treat,True,4,57,-0.23590040907662554,1.7439204314950305,0.18664284786233665,0.8185081910495182
Schaefer200,inverted,KOR,treat,True,4,57,-0.2972668473590667,2.614658413717249,0.10588032245396964,0.6032726814890159
Schaefer200,inverted,CB1,treat,True,4,57,-0.08764776519477273,0.28003872846710137,0.5966758338486422,0.9994473984525256
