parc,metric,map,effect,converged,df_model,df_resid,beta,chi2,p,pmeff
Schaefer200,original,5HT4,session,True,7,98,0.054783293281896926,1.9297694302258546,0.1647836725916778,0.8578544007793965
Schaefer200,original,5HT4,treat*session,True,7,98,0.054783293281896926,0.030453373451471477,0.8614654980077524,0.9999999994996935
Schaefer200,original,5HT6,treat,True,7,98,-0.5447654112312912,0.30408132969399815,0.5813350345726969,0.9999199934430655
Schaefer200,original,5HT6,session,True,7,98,-0.5447654112312912,1.0896213260039664,0.2965551260028884,0.9778782791656518
Schaefer200,original,5HT6,treat*session,True,7,98,-0.5447654112312912,2.0750612178823418,0.14972393243318205,0.8274879194417863
Schaefer200,original,5HTT,treat,True,7,98,0.08915746756528735,0.26786016462647966,0.6047708171916135,0.9999571379440606
Schaefer200,original,5HTT,session,True,7,98,0.08915746756528735,2.0739126896668187,0.1498366852182814,0.8277356110554737
Schaefer200,original,5HTT,treat*session,True,7,98,0.08915746756528735,0.09616366266701944,0.7564828859332431,0.999999774382542
Schaefer200,original,MOR,treat,True,7,98,0.21287557087268444,0.31822416044828206,0.5726768189405609,0.999900128355925
Schaefer200,original,MOR,session,True,7,98,0.21287557087268444,1.422164449839649,0.23304747357313627,0.9435677087004458
Schaefer200,original,MOR,treat*session,True,7,98,0.21287557087268444,0.4645624118432074,0.4954994074640491,0.9993965183584921
Schaefer200,original,KOR,treat,True,7,98,0.167788727087004,0.710022358152407,0.39943638963091666,0.9960115470055406
Schaefer200,original,KOR,session,True,7,98,0.167788727087004,4.669641940667518,0.03070032743497146,0.28668667819666893
Schaefer200,original,KOR,treat*session,True,7,98,0.167788727087004,0.35854808085559,0.5493137019679207,0.9998222079270567
Schaefer200,original,CB1,treat,True,7,98,-0.3250245191049707,0.05057375450918659,0.8220678889349171,0.9999999924681142
Schaefer200,original,CB1,session,True,7,98,-0.3250245191049707,0.7744026972785008,0.37885847933247085,0.9942544775661785
Schaefer200,original,CB1,treat*session,True,7,98,-0.3250245191049707,0.8571863131495313,0.35452728154269564,0.9912877989808054
Schaefer200,inverted,CMRglu,treat,True,7,98,0.19015319535946915,3.138551337573192,0.0764616933791168,0.5483481332000573
Schaefer200,inverted,CMRglu,session,True,7,98,0.19015319535946915,1.8978260910645686,0.16832185057067975,0.8414584809518161
Schaefer200,inverted,CMRglu,treat*session,True,7,98,0.19015319535946915,0.394029570560121,0.5301888570158608,0.9994731927333367
Schaefer200,inverted,SV2A,treat,True,7,98,0.20339549438341598,0.04391659979448807,0.8340088553801884,0.9999999839084146
Schaefer200,inverted,SV2A,session,True,7,98,0.20339549438341598,0.026294822590557418,0.8711823907020574,0.9999999987226388
Schaefer200,inverted,SV2A,treat*session,True,7,98,0.20339549438341598,0.4376510203980305,0.5082583921274775,0.9991689213498938
Schaefer200,inverted,HDAC,treat,True,7,98,0.4240301406297978,1.3199261164638507,0.2506053108991123,0.944020404017307
Schaefer200,inverted,HDAC,session,True,7,98,0.4240301406297978,2.8676682760554293,0.0903757202566854,0.6119178076880165
Schaefer200,inverted,HDAC,treat*session,True,7,98,0.4240301406297978,2.206840605323383,0.13739980986183323,0.7716669825345833
Schaefer200,inverted,VMAT2,treat,True,7,98,0.23892782401099363,0.15353705599121473,0.695177880139865,0.9999930133583483
Schaefer200,inverted,VMAT2,session,True,7,98,0.23892782401099363,5.431127755533893e-05,0.9941199483664453,1.0
Schaefer200,inverted,VMAT2,treat*session,True,7,98,0.23892782401099363,0.8085284629050401,0.3685556690069902,0.9898883357127604
Schaefer200,inverted,mGluR5,treat,True,7,98,-0.38782410087214153,0.0003761339565793212,0.9845266585976892,1.0
Schaefer200,inverted,mGluR5,session,True,7,98,-0.38782410087214153,0.004454327652442609,0.9467880931533244,0.999999999999814
Schaefer200,inverted,mGluR5,treat*session,True,7,98,-0.38782410087214153,1.508717191152395,0.2193349360085447,0.9157751572956715
Schaefer200,inverted,NMDA,treat,True,7,98,0.33688022424817504,0.41577887737045854,0.5190508528126871,0.9993342131740743
Schaefer200,inverted,NMDA,session,True,7,98,0.33688022424817504,0.23999136447900415,0.6242123518633707,0.999943433593339
Schaefer200,inverted,NMDA,treat*session,True,7,98,0.33688022424817504,1.4037274647087352,0.2361004672496488,0.9322007770664216
Schaefer200,inverted,GABAa,treat,True,7,98,0.6184894163661815,0.0028796493532310557,0.9572041684304821,0.9999999999999789
Schaefer200,inverted,GABAa,session,True,7,98,0.6184894163661815,0.2928543693029965,0.5883971628977323,0.9998595163723634
Schaefer200,inverted,GABAa,treat*session,True,7,98,0.6184894163661815,5.042870591201619,0.024727481818659226,0.2213540474691138
Schaefer200,inverted,GABAa5,treat,True,7,98,-0.14265491304039934,0.11420436718680865,0.7354073735516329,0.9999983016225804
Schaefer200,inverted,GABAa5,session,True,7,98,-0.14265491304039934,0.7005852646904577,0.40258710669513553,0.9941870679495297
Schaefer200,inverted,GABAa5,treat*session,True,7,98,-0.14265491304039934,0.2619149693866228,0.6088075871382794,0.9999154897895193
Schaefer200,inverted,NET,treat,True,7,98,0.1629766222572185,0.20308154513364987,0.6522449251590907,0.9999739314690627
Schaefer200,inverted,NET,session,True,7,98,0.1629766222572185,2.402174652030684,0.12116670902522926,0.7249076401087718
Schaefer200,inverted,NET,treat*session,True,7,98,0.1629766222572185,0.24639900099183792,0.619622143269356,0.9999361373435076
Schaefer200,inverted,A4B2,treat,True,7,98,-0.008178628347586767,1.2022231530574259,0.27287779398237577,0.9585910394499533
Schaefer200,inverted,A4B2,session,True,7,98,-0.008178628347586767,1.1073835381802346,0.29265141723591587,0.9685628332090243
Schaefer200,inverted,A4B2,treat*session,True,7,98,-0.008178628347586767,0.0005714732394307057,0.9809279820139749,1.0
Schaefer200,inverted,M1,treat,True,7,98,0.34947370686622875,0.038095773883301966,0.845250949750644,0.9999999920153829
Schaefer200,inverted,M1,session,True,7,98,0.34947370686622875,0.20245279366230887,0.6527482635767052,0.9999743060608228
Schaefer200,inverted,M1,treat*session,True,7,98,0.34947370686622875,1.2286112848117245,0.26767728018252446,0.9555345684516022
Schaefer200,inverted,VAChT,treat,True,7,98,-0.20011197488200522,1.1868689516613207,0.275962036820378,0.9603130944194946
Schaefer200,inverted,VAChT,session,True,7,98,-0.20011197488200522,0.26937144053538575,0.6037537271962343,0.9999039238136116
Schaefer200,inverted,VAChT,treat*session,True,7,98,-0.20011197488200522,0.31324146966606253,0.5756978684010059,0.9998096745067994
Schaefer200,inverted,FDOPA,treat,True,7,98,0.2551571485458512,0.011254944899279862,0.9155114806864915,0.9999999999811249
Schaefer200,inverted,FDOPA,session,True,7,98,0.2551571485458512,0.0005264472165587675,0.9816945936389686,1.0
Schaefer200,inverted,FDOPA,treat*session,True,7,98,0.2551571485458512,0.8250776012623847,0.3636997649042413,0.9890838808751795
Schaefer200,inverted,D1,treat,True,7,98,0.10011270040326088,0.2498801998200867,0.6171594450660023,0.9999318833284679
Schaefer200,inverted,D1,session,True,7,98,0.10011270040326088,0.020588882641426113,0.8859045772878001,0.9999999996201325
Schaefer200,inverted,D1,treat*session,True,7,98,0.10011270040326088,0.13113857353710479,0.7172544356405051,0.9999967038847459
Schaefer200,inverted,D23,treat,True,7,98,-0.020567781675928067,0.0019921490493421874,0.9643994425564067,0.9999999999999967
Schaefer200,inverted,D23,session,True,7,98,-0.020567781675928067,1.1268570635338115,0.2884467271187666,0.9666447843711485
Schaefer200,inverted,D23,treat*session,True,7,98,-0.020567781675928067,0.0037813523046338095,0.950966826981944,0.9999999999999178
Schaefer200,inverted,DAT,treat,True,7,98,0.14530586129305437,0.8321390839731836,0.3616547190253706,0.9887281895349563
Schaefer200,inverted,DAT,session,True,7,98,0.14530586129305437,0.10135125996027251,0.7502140558690151,0.9999990447409256
Schaefer200,inverted,DAT,treat*session,True,7,98,0.14530586129305437,0.2345606751147853,0.6281625841849032,0.9999491022837863
Schaefer200,inverted,5HT1a,treat,True,7,98,-0.31634461211965736,0.0033646860200850872,0.9537439180370257,0.9999999999999541
Schaefer200,inverted,5HT1a,session,True,7,98,-0.31634461211965736,2.5633370789403007,0.10936750681662973,0.6856914574646222
