parc,metric,map,effect,converged,df_model,df_resid,beta,chi2,p,pmeff
Schaefer200,inverted,SV2A,treat,True,9,152,,3.2229146839257408,0.19959652162943245,0.8879567624670558
Schaefer200,inverted,SV2A,session,True,9,152,,0.035775836393258195,0.8499791619603054,0.9999999920500487
Schaefer200,inverted,SV2A,treat*session,True,9,152,,12.398306432079027,0.0020311498534074783,0.0197910180603994
Schaefer200,inverted,HDAC,treat,True,9,152,,2.7405803962532844,0.25403322888793917,0.9439408837066641
Schaefer200,inverted,HDAC,session,True,9,152,,1.7814607605869508,0.1819700557166408,0.8611986802598987
Schaefer200,inverted,HDAC,treat*session,True,9,152,,16.599435882336792,0.000248586933360419,0.002441292348379309
Schaefer200,inverted,VMAT2,treat,True,9,152,,0.45709681923594253,0.795687777330801,0.9999998343527927
Schaefer200,inverted,VMAT2,session,True,9,152,,0.08978318502719307,0.7644529720766641,0.9999993291828162
Schaefer200,inverted,VMAT2,treat*session,True,9,152,,6.269277325090879,0.043515474759734864,0.3542923180092724
Schaefer200,inverted,mGluR5,treat,True,9,152,,2.908079511425276,0.23362459290733714,0.9269043684124039
Schaefer200,inverted,mGluR5,session,True,9,152,,0.015242226942448244,0.9017433111783812,0.9999999998759933
Schaefer200,inverted,mGluR5,treat*session,True,9,152,,5.004735861908776,0.0818908569625054,0.5682853470677225
Schaefer200,inverted,NMDA,treat,True,9,152,,1.3829720039859743,0.5008312795441994,0.998920233148494
Schaefer200,inverted,NMDA,session,True,9,152,,0.521407772980759,0.47024178316454823,0.998062329099049
Schaefer200,inverted,NMDA,treat*session,True,9,152,,10.15020523624197,0.006250444997796356,0.05978233637401631
Schaefer200,inverted,GABAa,treat,True,9,152,,1.8802849399153394,0.390572186591586,0.992318055329686
Schaefer200,inverted,GABAa,session,True,9,152,,0.14969842639308062,0.6988237195406457,0.999992482984912
Schaefer200,inverted,GABAa,treat*session,True,9,152,,24.4369857202533,4.938282989653024e-06,4.854948986654506e-05
Schaefer200,inverted,GABAa5,treat,True,9,152,,0.8431870118859471,0.6560006455666865,0.9999722231323398
Schaefer200,inverted,GABAa5,session,True,9,152,,0.0805580572850453,0.7765425686863591,0.9999996003935346
Schaefer200,inverted,GABAa5,treat*session,True,9,152,,2.6365746631321687,0.267593208173937,0.953192245792459
Schaefer200,inverted,NET,treat,True,9,152,,0.7242000639600717,0.6962127208213744,0.9999918172026347
Schaefer200,inverted,NET,session,True,9,152,,1.4312526823583391,0.2315601088370966,0.924945292886983
Schaefer200,inverted,NET,treat*session,True,9,152,,1.3905196992398527,0.49894478052726154,0.9988794372990282
Schaefer200,inverted,A4B2,treat,True,9,152,,3.500153540874062,0.17376060326093445,0.8468807898579926
Schaefer200,inverted,A4B2,session,True,9,152,,0.8272749322971146,0.36306169615917216,0.9881425737870031
Schaefer200,inverted,A4B2,treat*session,True,9,152,,12.024791078214644,0.0024482163521100946,0.02381099769207462
Schaefer200,inverted,M1,treat,True,9,152,,5.272126487432904,0.07164275518934149,0.5185042134528901
Schaefer200,inverted,M1,session,True,9,152,,0.17764347705196415,0.673406269657668,0.999983328069525
Schaefer200,inverted,M1,treat*session,True,9,152,,18.488801091712084,9.665133440298033e-05,0.0009498186179656143
Schaefer200,inverted,VAChT,treat,True,9,152,,1.7766411881886754,0.411345989880638,0.9945375426304002
Schaefer200,inverted,VAChT,session,True,9,152,,0.009754978241907453,0.9213230375850974,0.9999999999860503
Schaefer200,inverted,VAChT,treat*session,True,9,152,,4.604798253193017,0.10001859836903594,0.6451468450406175
Schaefer200,inverted,FDOPA,treat,True,9,152,,0.11745669851366329,0.9429628909377922,0.9999999999994095
Schaefer200,inverted,FDOPA,session,True,9,152,,0.30794329834756595,0.5789450103684368,0.999797371357642
Schaefer200,inverted,FDOPA,treat*session,True,9,152,,3.439686910759066,0.179094181947888,0.8563260455011839
Schaefer200,inverted,D1,treat,True,9,152,,1.2684309180547655,0.5303514075525047,0.9994070084513896
Schaefer200,inverted,D1,session,True,9,152,,0.034504101611761484,0.8526386226930784,0.9999999933320168
Schaefer200,inverted,D1,treat*session,True,9,152,,4.866958737539585,0.08773105224625145,0.5945384508068451
Schaefer200,inverted,D23,treat,True,9,152,,2.943468611846411,0.22952706964295078,0.9229700931772806
Schaefer200,inverted,D23,session,True,9,152,,0.4913970721831517,0.48330476359974284,0.9984840842637221
Schaefer200,inverted,D23,treat*session,True,9,152,,0.30236240919944196,0.8596919044168918,0.999999995883055
Schaefer200,inverted,DAT,treat,True,9,152,,1.195249378965117,0.5501167835969825,0.999611435347695
Schaefer200,inverted,DAT,session,True,9,152,,0.9239344936653392,0.336444018961751,0.9822664441500633
Schaefer200,inverted,DAT,treat*session,True,9,152,,0.18443124101092848,0.9119085021730737,0.9999999999576203
