parc,metric,map,effect,converged,df_model,df_resid,beta,chi2,p,pmeff
Schaefer200,inverted,D1,treat,True,6,48,-0.06946122062541832,0.16662665155071374,0.920062822655439,0.9999999999959234
Schaefer200,inverted,D23,treat,True,6,48,-0.7901760772500385,7.705438233042915,0.02122195295107512,0.19961253371911936
Schaefer200,inverted,DAT,treat,True,6,48,0.4743971846638196,3.9872556973701916,0.13620041358304585,0.781247151426915
Schaefer200,inverted,5HT1a,treat,True,6,48,-0.767013375330504,8.8011068360356,0.012270547281708313,0.12028626254659935
Schaefer200,inverted,5HT1b,treat,True,6,48,-0.28138752768539294,0.8865055427322692,0.641944921283321,0.9999765627224317
Schaefer200,inverted,5HT2a,treat,True,6,48,-0.7375635066071718,10.401083722033635,0.005513576019276654,0.055774644451584754
Schaefer200,inverted,5HT4,treat,True,6,48,-0.8839814390044075,9.040391550578933,0.010886892075457162,0.10740992366357949
Schaefer200,inverted,5HT6,treat,True,6,48,-0.6149181834837362,8.081144435815656,0.01758740570722476,0.16821839463150545
Schaefer200,inverted,5HTT,treat,True,6,48,0.47142677464323113,3.953746631076106,0.1385016118469909,0.7872213673669755
Schaefer200,inverted,MOR,treat,True,6,48,-0.7054964188996768,8.78322412573656,0.01238075456984955,0.1213046016637842
Schaefer200,inverted,KOR,treat,True,6,48,-0.18683818517352346,0.3494862842439646,0.8396726696126158,0.9999999944048178
Schaefer200,inverted,CB1,treat,True,6,48,-0.8749704653982727,9.451306005118191,0.00886492320192341,0.08828700325745942
Schaefer200Subcortical,original,CMRglu,treat,True,6,48,-0.2610346025794643,0.8935246742958627,0.6396959221673768,0.999987999938546
Schaefer200Subcortical,original,SV2A,treat,True,6,48,-0.483242315708741,3.1133024339433915,0.21084095089548532,0.927795793986901
Schaefer200Subcortical,original,HDAC,treat,True,6,48,-0.38608606810578866,1.9208997358935556,0.3827206734780082,0.9952747938147345
Schaefer200Subcortical,original,VMAT2,treat,True,6,48,-0.3599424642624001,2.538913620608394,0.2809842080594815,0.9743051051780808
Schaefer200Subcortical,original,mGluR5,treat,True,6,48,-0.1654935382603271,1.6081789570532945,0.44749519510220526,0.9986195499620012
Schaefer200Subcortical,original,NMDA,treat,True,6,48,-0.3460885114093139,3.380893884423907,0.18443707285560657,0.8959579119327471
Schaefer200Subcortical,original,GABAa,treat,True,6,48,-0.2686558948297696,2.6706421456461973,0.26307369608045517,0.9662360240958763
Schaefer200Subcortical,original,GABAa5,treat,True,6,48,0.17239250555231658,0.856662165578615,0.6515956469778947,0.9999917341337182
Schaefer200Subcortical,original,NET,treat,True,6,48,-0.43460609595286354,3.141289102011356,0.20791112983199173,0.9247639580126428
Schaefer200Subcortical,original,A4B2,treat,True,6,48,-0.10726378889760968,1.8140307827158233,0.40372739591679363,0.996782513624032
Schaefer200Subcortical,original,M1,treat,True,6,48,-0.41570662117667856,3.341940729739973,0.1880644858981825,0.9009804777021856
Schaefer200Subcortical,original,VAChT,treat,True,6,48,-0.08583813353620538,1.0958998925884422,0.5781338016855215,0.999930885200582
Schaefer200Subcortical,original,FDOPA,treat,True,6,48,-0.24020056621072067,2.4045525116091744,0.3005093965421979,0.9810707502985657
Schaefer200Subcortical,original,D1,treat,True,6,48,-0.5023509712103603,3.322257741245516,0.18992445889876583,0.9034693183346221
Schaefer200Subcortical,original,D23,treat,True,6,48,0.13148860017405872,2.268366775492595,0.32168470577752883,0.9865429449664397
Schaefer200Subcortical,original,DAT,treat,True,6,48,-0.2848395194692165,2.1164813752680067,0.3470658708075597,0.9911871782847299
Schaefer200Subcortical,original,5HT1a,treat,True,6,48,0.4204488162871393,2.955526581917044,0.22814741750496,0.9435490978413207
Schaefer200Subcortical,original,5HT1b,treat,True,6,48,-0.1105294785293803,0.5428105704851732,0.7623074818170752,0.9999998814255313
Schaefer200Subcortical,original,5HT2a,treat,True,6,48,-0.18016204462768362,2.8155265134391314,0.2446899801840205,0.9556153288413023
Schaefer200Subcortical,original,5HT4,treat,True,6,48,0.004423040656877766,2.594548686564334,0.2732756344141338,0.9710763854838691
Schaefer200Subcortical,original,5HT6,treat,True,6,48,-0.07448534048662467,2.9530653795032746,0.22842834881404026,0.9437767374525521
Schaefer200Subcortical,original,5HTT,treat,True,6,48,-0.25562458796358467,0.9393888309166515,0.6251932884993257,0.9999814043539629
Schaefer200Subcortical,original,MOR,treat,True,6,48,-0.19512192386305854,2.1038075007623673,0.34927218871933324,0.9915121346403761
Schaefer200Subcortical,original,KOR,treat,True,6,48,0.07948799034005978,0.7204354086442396,0.6975244554514497,0.9999982787488835
Schaefer200Subcortical,original,CB1,treat,True,6,48,-0.045303635805200713,1.8111520306010476,0.4043089298868221,0.9968171728097884
Schaefer200Subcortical,inverted,CMRglu,treat,True,6,48,0.11604341954395517,2.8369151296291784,0.24208713278106578,0.9540166150249592
Schaefer200Subcortical,inverted,SV2A,treat,True,6,48,-0.28465689287558404,2.2441720631673334,0.3255998740807642,0.9874304801043027
Schaefer200Subcortical,inverted,HDAC,treat,True,6,48,0.13242764761865378,6.683513892794509,0.035374751548857365,0.3297631244619663
Schaefer200Subcortical,inverted,VMAT2,treat,True,6,48,0.1541132466170553,0.40755687373100524,0.8156430676034105,0.9999999930551282
Schaefer200Subcortical,inverted,mGluR5,treat,True,6,48,-0.46088946773733946,3.508507625437154,0.17303631162573938,0.8788578106510824
Schaefer200Subcortical,inverted,NMDA,treat,True,6,48,0.0018028653900403551,0.7111519655741327,0.7007696956615171,0.9999984914638841
Schaefer200Subcortical,inverted,GABAa,treat,True,6,48,-0.010075465841902428,1.2088527071980193,0.5463877701348158,0.9998465894308213
Schaefer200Subcortical,inverted,GABAa5,treat,True,6,48,-0.4492832032459234,2.692127292491076,0.2602627331055884,0.9648856662192611
Schaefer200Subcortical,inverted,NET,treat,True,6,48,0.4687761874101133,4.099747045864766,0.128751186630604,0.783730577796128
Schaefer200Subcortical,inverted,A4B2,treat,True,6,48,-0.6358747302389339,5.582640454952901,0.061340177445809774,0.5050361912196744
Schaefer200Subcortical,inverted,M1,treat,True,6,48,-0.4421536019446903,5.5889343693071165,0.06114744595208741,0.5039059457312027
Schaefer200Subcortical,inverted,VAChT,treat,True,6,48,0.3356826088362401,1.3189884348704528,0.5171128150058336,0.9996926691027485
Schaefer200Subcortical,inverted,FDOPA,treat,True,6,48,-0.04472652516033781,0.2941559244750883,0.8632266757097116,0.9999999997481186
Schaefer200Subcortical,inverted,D1,treat,True,6,48,-0.12506756366902358,0.30706311601465297,0.8576736972989183,0.9999999996080647
Schaefer200Subcortical,inverted,D23,treat,True,6,48,-0.8013654702056955,7.855261649535285,0.01969026702899519,0.1982321647459453
Schaefer200Subcortical,inverted,DAT,treat,True,6,48,0.4061275504667113,3.6732869853960666,0.1593513935888916,0.8546261432293056
Schaefer200Subcortical,inverted,5HT1a,treat,True,6,48,-0.46363822207279565,5.091366779870388,0.07841944260695279,0.5963787148553077
Schaefer200Subcortical,inverted,5HT1b,treat,True,6,48,-0.07800133183824334,0.157941321974399,0.9240670352619587,0.9999999999996354
Schaefer200Subcortical,inverted,5HT2a,treat,True,6,48,-0.45851577755259004,7.139547243640083,0.028162228272718526,0.2719352549287286
Schaefer200Subcortical,inverted,5HT4,treat,True,6,48,-0.822832107500705,8.22537949814211,0.0163637010298972,0.1674819711677109
Schaefer200Subcortical,inverted,5HT6,treat,True,6,48,-0.4812461752255002,7.212124319687227,0.02715858273170782,0.263538161018677
Schaefer200Subcortical,inverted,5HTT,treat,True,6,48,0.431220287472409,3.6215363625456183,0.16352846903358767,0.8624526472048762
Schaefer200Subcortical,inverted,MOR,treat,True,6,48,-0.7711792296046491,11.41397890252777,0.003322660534163566,0.03630013152232059
Schaefer200Subcortical,inverted,KOR,treat,True,6,48,-0.2790120644962129,0.9447819353407065,0.6235096931258657,0.9999806476805021
Schaefer200Subcortical,inverted,CB1,treat,True,6,48,-0.6104992859378966,5.064181871254057,0.07949263241615125,0.6015698990773496
