parc	metric	sample	between	dv	n	df_model	df_resid	F	p	pmeff	beta	np2	posthoc	covariates
Schaefer200	original	all	dx_apd_current	NET	151	2.0	144.0	0.6761887949389889	0.5101587543071551	0.9994193188703725	-0.16179987712134206	0.009304131190022958		sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_current	A4B2	151	2.0	144.0	2.9648814371679557	0.0547235085508961	0.4443318131088958	-0.4437478253056883	0.03955027181164797		sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_current	M1	151	2.0	144.0	0.9359279510039351	0.39459431409825707	0.9946985271816006	-0.18625388066720988	0.012832193643065214		sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_current	VAChT	151	2.0	144.0	2.853054909853834	0.06093314838785656	0.4812830795953459	-0.38132067150876164	0.03811541043033971		sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_current	FDOPA	151	2.0	144.0	7.0129726486574935	0.0012406659199597676	0.012877916428184588	-0.5994936796623049	0.08875723078843878	CTRL > PSY_APD, CTRL > PSY_noAPD	sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_current	D1	151	2.0	144.0	4.3983162844702495	0.013992878041052523	0.13681675908241564	-0.3864775839249054	0.05757085363102838	CTRL > PSY_APD	sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_current	D23	151	2.0	144.0	8.602321535463922	0.0002957441031041741	0.003083490520539911	-0.7161884599245314	0.10672548099844764	CTRL > PSY_APD, CTRL > PSY_noAPD	sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_current	DAT	151	2.0	144.0	4.118943473714676	0.018216360921381756	0.1746490284761133	-0.4951796158394307	0.05411193699945436	CTRL > PSY_APD, CTRL > PSY_noAPD	sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_current	5HT1a	151	2.0	144.0	8.085301188760269	0.0004700425679891739	0.0048967340756601585	-0.6608427512791029	0.10095861623474818	CTRL > PSY_APD, CTRL > PSY_noAPD	sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_current	5HT1b	151	2.0	144.0	4.530131119934095	0.012359554286928072	0.12177057418685522	-0.5126209039075943	0.05919408543590112		sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_current	5HT2a	151	2.0	144.0	5.255937762024218	0.0062639056731754895	0.0634999631983647	-0.5814501580505331	0.06803279999285461		sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_current	5HT4	151	2.0	144.0	11.786918368189946	1.8165697329040956e-05	0.00018964769249629754	-0.8157921791614534	0.14067731094243108	CTRL > PSY_APD, CTRL > PSY_noAPD	sex, age, mean_fd, gc
